"Country","Year","Debt","GDP1","GDP2","RGDP1","RGDP2","Infl"
"Canada","1865.0000","","","","","",""
"Canada","1866.0000","","","","","",""
"Canada","1867.0000","93.0000","","","","",""
"Canada","1868.0000","97.0000","","","","","-0.2494"
"Canada","1869.0000","112.0000","","","","","0.8750"
"Canada","1870.0000","116.0000","","","6407.0000","","-1.1152"
"Canada","1871.0000","116.0000","","","6668.9560","","2.4218"
"Canada","1872.0000","122.0000","","","6599.1240","","10.3503"
"Canada","1873.0000","130.0000","","","7262.5280","","-0.2354"
"Canada","1874.0000","141.0000","","","7437.1080","","-3.8032"
"Canada","1875.0000","152.0000","","","7262.5280","","-4.2779"
"Canada","1876.0000","161.0000","","","6773.7040","","-3.1401"
"Canada","1877.0000","175.0000","","","7227.6120","","-4.5672"
"Canada","1878.0000","175.0000","","","6948.2840","","-4.6450"
"Canada","1879.0000","180.0000","","","7611.6880","","-2.2982"
"Canada","1880.0000","195.0000","","","7960.8480","","6.2680"
"Canada","1881.0000","200.0000","","","9078.1600","","2.3508"
"Canada","1882.0000","205.0000","","","9497.1520","","2.3643"
"Canada","1883.0000","203.0000","","","9532.0680","","-2.0014"
"Canada","1884.0000","243.0000","","","10300.2200","","-8.0806"
"Canada","1885.0000","265.0000","","","9671.7320","","-2.2876"
"Canada","1886.0000","263.0000","","","9776.4800","","-0.7899"
"Canada","1887.0000","273.0000","","","10090.7240","","4.1397"
"Canada","1888.0000","285.0000","","","10823.9600","","0.0660"
"Canada","1889.0000","288.0000","","","10893.7920","","1.8956"
"Canada","1890.0000","286.0000","","","11696.8600","","-0.1917"
"Canada","1891.0000","291.0000","","","11976.1880","","0.0000"
"Canada","1892.0000","296.0000","","","11906.3560","","-3.5768"
"Canada","1893.0000","300.0000","","","11836.5240","","-0.2442"
"Canada","1894.0000","308.0000","","","12395.1800","","-7.6458"
"Canada","1895.0000","318.0000","","","12255.5160","","-2.0959"
"Canada","1896.0000","326.0000","","","11941.2720","","-0.1071"
"Canada","1897.0000","333.0000","","","13233.1640","","1.3756"
"Canada","1898.0000","339.0000","","","13756.9040","","3.8402"
"Canada","1899.0000","345.0000","","","15048.7960","","-0.0159"
"Canada","1900.0000","347.0000","","","15886.7800","","3.5801"
"Canada","1901.0000","355.0000","","","17143.7560","","1.5779"
"Canada","1902.0000","366.0000","","","18819.7240","","3.7352"
"Canada","1903.0000","361.0000","","","19378.3800","","1.6422"
"Canada","1904.0000","365.0000","","","19657.7080","","1.0983"
"Canada","1905.0000","377.0000","","","21962.1640","","2.4134"
"Canada","1906.0000","392.0000","","","24161.8720","","1.1356"
"Canada","1907.0000","380.0000","","","25558.5120","","7.6543"
"Canada","1908.0000","409.0000","","","24336.4520","","0.3850"
"Canada","1909.0000","479.0000","","","26920.2360","","1.2425"
"Canada","1910.0000","471.0000","","","29224.6920","","0.9675"
"Canada","1911.0000","475.0000","","","31214.9040","","2.7158"
"Canada","1912.0000","508.0000","","","33274.9480","","3.7322"
"Canada","1913.0000","484.0000","","","34916.0000","","1.8326"
"Canada","1914.0000","544.0000","","","32576.6280","","1.5050"
"Canada","1915.0000","700.0000","","","34671.5880","","4.4113"
"Canada","1916.0000","937.0000","","","38163.1880","","14.0138"
"Canada","1917.0000","1381.0000","","","39734.4080","","23.8157"
"Canada","1918.0000","1863.0000","","","37185.5400","","12.4340"
"Canada","1919.0000","2677.0000","","","34357.3440","","8.0344"
"Canada","1920.0000","3042.0000","","","33973.2680","","14.8691"
"Canada","1921.0000","2929.0000","","","30307.0880","","-20.9651"
"Canada","1922.0000","2932.0000","","","34741.4200","","-6.7965"
"Canada","1923.0000","2922.0000","","","36801.4640","","0.5424"
"Canada","1924.0000","2855.0000","","","37360.1200","","-1.0077"
"Canada","1925.0000","2858.0000","5152.0000","","41445.2920","","2.7039"
"Canada","1926.0000","2811.0000","5549.0000","","43679.9160","","-0.8147"
"Canada","1927.0000","2771.0000","6046.0000","","48009.5000","","-1.5034"
"Canada","1928.0000","2726.0000","6134.0000","","52269.2520","","-0.1365"
"Canada","1929.0000","2699.0000","5728.0000","","52199.4200","","1.0878"
"Canada","1930.0000","2601.0000","4699.0000","","50453.6200","","-5.4284"
"Canada","1931.0000","2669.0000","3827.0000","","42667.3520","","-12.5354"
"Canada","1932.0000","2894.0000","3510.0000","","39629.6600","","-8.1401"
"Canada","1933.0000","3062.0000","3984.0000","","36801.4640","","-1.9078"
"Canada","1934.0000","3210.0000","4315.0000","","40712.0560","","2.9583"
"Canada","1935.0000","3523.0000","4653.0000","","43994.1600","","1.3005"
"Canada","1936.0000","3490.0000","5257.0000","","46368.4480","","1.8462"
"Canada","1937.0000","3604.0000","5278.0000","","50732.9480","","6.6065"
"Canada","1938.0000","3606.0000","5636.0000","","52059.7560","","-2.1948"
"Canada","1939.0000","3686.0000","6743.0000","","55167.2800","","-0.4725"
"Canada","1940.0000","4029.0000","8328.0000","","62744.0520","","6.0471"
"Canada","1941.0000","5008.0000","10327.0000","","71507.9680","","6.6283"
"Canada","1942.0000","6630.0000","11088.0000","","84182.4760","","4.2633"
"Canada","1943.0000","8815.0000","11850.0000","","87988.3200","","2.6559"
"Canada","1944.0000","11803.0000","11835.0000","","91305.3400","","0.0926"
"Canada","1945.0000","14913.0000","11850.0000","","88477.1440","","1.0062"
"Canada","1946.0000","17893.0000","13165.0000","","87569.3280","","4.9775"
