"Country","Year","Debt1","Debt2","Debtalt","GDP1","GDP2","GDP2alt","RGDP1","RGDP2","RGDP2alt","Infl"
"Finland","1860.00","","","","3.07","","","1667.00","","",""
"Finland","1861.00","","","","3.07","","","1680.00","","","10.38"
"Finland","1862.00","","","","3.31","","","1590.00","","","17.43"
"Finland","1863.00","","","","3.17","","","1718.00","","","-6.95"
"Finland","1864.00","","","","3.33","","","1756.00","","","-5.32"
"Finland","1865.00","","","","3.32","","","1744.00","","","2.27"
"Finland","1866.00","","","","3.46","","","1763.00","","","-7.71"
"Finland","1867.00","","","","3.31","","","1622.00","","","7.08"
"Finland","1868.00","","","","2.90","","","1782.00","","","-1.06"
"Finland","1869.00","","","","3.29","","","1910.00","","","-8.96"
"Finland","1870.00","","","","3.48","","","1999.00","","","-4.99"
"Finland","1871.00","","","","3.63","","","2012.54","","","6.49"
"Finland","1872.00","","","","3.82","","","2082.81","","","7.26"
"Finland","1873.00","","","","4.08","","","2204.21","","","0.00"
"Finland","1874.00","","","","4.46","","","2255.32","","","7.98"
"Finland","1875.00","","","","4.83","","","2300.04","","","0.00"
"Finland","1876.00","","","","4.84","","","2427.82","","","0.00"
"Finland","1877.00","","","","5.15","","","2370.32","","","-3.13"
"Finland","1878.00","","","","4.99","","","2325.60","","","-9.83"
"Finland","1879.00","","","","4.29","","","2351.15","","","-7.17"
"Finland","1880.00","","","","4.11","","","2363.93","","","11.75"
"Finland","1881.00","","","","4.52","","","2300.04","","","5.81"
"Finland","1882.00","","","","4.55","","","2523.66","","","-6.67"
"Finland","1883.00","","","","4.84","","","2619.49","","","-3.50"
"Finland","1884.00","","","","4.92","","","2638.66","","","-1.16"
"Finland","1885.00","","","","4.81","","","2702.55","","","-6.17"
"Finland","1886.00","","","","4.72","","","2836.72","","","-9.23"
"Finland","1887.00","","","","4.62","","","2881.44","","","-2.93"
"Finland","1888.00","","","","4.62","","","2990.05","","","1.42"
"Finland","1889.00","","","","4.80","","","3092.28","","","5.95"
"Finland","1890.00","","","","5.33","","","3264.78","","","4.13"
"Finland","1891.00","","","","5.62","","","3232.83","","","13.33"
"Finland","1892.00","","","","5.97","","","3137.00","","","4.76"
"Finland","1893.00","","","","5.83","","","3258.39","","","-5.61"
"Finland","1894.00","","","","5.89","","","3513.95","","","-9.49"
"Finland","1895.00","","","","6.06","","","3705.62","","","-2.66"
"Finland","1896.00","","","","6.29","","","3948.40","","","1.29"
"Finland","1897.00","","","","6.78","","","4140.07","","","3.97"
"Finland","1898.00","","","","7.49","","","4318.96","","","3.97"
"Finland","1899.00","","","","8.25","","","4216.74","","","3.67"
"Finland","1900.00","","","","8.53","","","4414.80","","","2.41"
"Finland","1901.00","","","","9.12","","","4363.69","","","-1.24"
"Finland","1902.00","","","","9.00","","","4274.24","","","0.00"
"Finland","1903.00","","","","8.77","","","4561.75","","","-1.12"
"Finland","1904.00","","","","9.64","","","4734.25","","","1.13"
"Finland","1905.00","","","","9.87","","","4810.92","","","-1.12"
"Finland","1906.00","","","","10.35","","","5002.59","","","4.67"
"Finland","1907.00","","","","10.94","","","5175.09","","","3.52"
"Finland","1908.00","","","","11.59","","","5232.59","","","4.31"
"Finland","1909.00","","","","11.82","","","5462.60","","","-1.00"
"Finland","1910.00","","","","12.15","","","5583.99","","","0.00"
"Finland","1911.00","","","","12.57","","","5743.71","","","4.30"
"Finland","1912.00","","","","13.32","","","6063.16","","","1.94"
"Finland","1913.00","","","","14.33","","","6389.00","","","0.00"
"Finland","1914.00","1.71","","171.20","15.01","","","6107.88","","","0.00"
"Finland","1915.00","1.79","","179.40","14.95","","","5801.21","","","20.00"
"Finland","1916.00","1.98","","197.50","16.45","","","5877.88","","","33.43"
"Finland","1917.00","2.41","","240.50","23.17","","","4938.70","","","93.68"
"Finland","1918.00","10.48","","1048.20","37.14","","","4280.63","","","241.96"
"Finland","1919.00","18.36","","1836.00","53.73","","","5168.70","","","-11.33"
"Finland","1920.00","19.36","","1936.10","81.74","","","5782.05","","","0.00"
"Finland","1921.00","19.34","","1933.80","129.83","","","5973.72","","","15.37"
"Finland","1922.00","18.78","","1877.80","152.61","","","6606.23","","","-1.88"
"Finland","1923.00","24.15","","2415.20","164.98","","","7091.79","","","0.96"
"Finland","1924.00","22.79","","2279.40","174.57","","","7277.07","","","2.88"
"Finland","1925.00","24.75","","2475.30","186.65","","","7692.36","","","1.31"
"Finland","1926.00","28.47","","2846.80","200.11","","","7986.25","","","-1.23"
"Finland","1927.00","26.95","","2695.00","210.53","","","8612.37","","","2.73"
"Finland","1928.00","29.40","","2939.60","234.35","","","9193.77","","","1.86"
"Finland","1929.00","30.24","","3023.60","251.83","","","9302.38","","","-1.92"
"Finland","1930.00","30.57","","3057.10","245.28","","","9193.77","","","-9.66"
"Finland","1931.00","32.42","","3242.20","220.70","","","8970.16","","","-5.60"
"Finland","1932.00","34.72","","3471.90","196.84","","","8931.82","","","-1.72"
"Finland","1933.00","35.08","","3507.70","200.03","","","9526.00","","","-2.95"
"Finland","1934.00","33.82","","3381.80","210.74","","","10605.74","","","-0.01"
"Finland","1935.00","31.66","","3166.00","236.67","","","11059.36","","","1.06"
"Finland","1936.00","31.19","","3119.20","248.84","","","11806.87","","","0.30"
"Finland","1937.00","34.53","","3452.50","274.54","","","12477.72","","","6.12"
"Finland","1938.00","33.71","","3371.30","325.46","","","13123.01","","","1.20"
"Finland","1939.00","56.36","","5636.40","352.45","","","12560.77","","","3.57"
"Finland","1940.00","167.07","","16706.80","342.72","","","11909.10","","","21.32"
"Finland","1941.00","272.35","","27235.10","397.70","","","12298.83","","","16.96"
"Finland","1942.00","366.55","","36655.30","475.44","","","12337.16","","","19.11"
"Finland","1943.00","516.22","","51621.90","573.13","","","13755.52","","","11.18"
"Finland","1944.00","673.22","","67321.60","740.51","","","13761.91","","","4.32"
